DATE,EXPIRY,STRIKE_PRC,TIME_MC,F,MD,MD_Close,N,C,BID,ASK
20/4/2018,1,29400,16:00,30166,30/5/2018,30054,25,0,368,375
20/4/2018,1,27400,16:00,30166,30/5/2018,30054,25,0,82,86
20/4/2018,1,30600,16:00,30166,30/5/2018,30054,25,1,435,442
20/4/2018,1,26200,16:00,30166,30/5/2018,30054,25,0,33,37
20/4/2018,1,27200,16:00,30166,30/5/2018,30054,25,0,71,75
20/4/2018,1,26800,16:00,30166,30/5/2018,30054,25,0,52,56
20/4/2018,1,28200,16:00,30166,30/5/2018,30054,25,0,150,155
20/4/2018,1,31000,16:00,30166,30/5/2018,30054,25,1,291,297
20/4/2018,1,31400,16:00,30166,30/5/2018,30054,25,1,188,193
20/4/2018,1,26000,16:00,30166,30/5/2018,30054,25,0,26,34
20/4/2018,1,27000,16:00,30166,30/5/2018,30054,25,0,61,65
23/4/2018,0,31400,16:00,30252,27/4/2018,30149.5,4,1,6,7
23/4/2018,0,31200,16:00,30252,27/4/2018,30149.5,4,1,10,11
23/4/2018,0,30800,16:00,30252,27/4/2018,30149.5,4,0,582,593
23/4/2018,0,30600,16:00,30252,27/4/2018,30149.5,4,1,77,79
23/4/2018,0,30600,16:00,30252,27/4/2018,30149.5,4,0,423,430
23/4/2018,0,30800,16:00,30252,27/4/2018,30149.5,4,1,38,39
23/4/2018,0,30400,16:00,30252,27/4/2018,30149.5,4,1,146,149
23/4/2018,0,30400,16:00,30252,27/4/2018,30149.5,4,0,294,299
23/4/2018,0,30200,16:00,30252,27/4/2018,30149.5,4,1,251,254
23/4/2018,0,30200,16:00,30252,27/4/2018,30149.5,4,0,200,202
23/4/2018,0,30000,16:00,30252,27/4/2018,30149.5,4,1,384,388
23/4/2018,0,30000,16:00,30252,27/4/2018,30149.5,4,0,135,137
23/4/2018,0,29800,16:00,30252,27/4/2018,30149.5,4,1,541,550
23/4/2018,0,29800,16:00,30252,27/4/2018,30149.5,4,0,92,94
23/4/2018,0,29600,16:00,30252,27/4/2018,30149.5,4,1,711,721
23/4/2018,0,29600,16:00,30252,27/4/2018,30149.5,4,0,63,64
23/4/2018,0,28800,16:00,30252,27/4/2018,30149.5,4,0,16,17
