,game_date,home_team,Stadium,week,away_team,weekday,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,total_attendance,home_attendance,away_attendance,weekly_attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,superbowl_winner,Capacity,Turf,Temperature,EstimatedCondition
4011,23/10/2005,13,22,7,14,4,13:03:00,38,20,437,2,139,2,13,14,1094938,562397,532541,70621,2,14,260,431,-171,-10.7,0.7,-10,-4.4,-5.7,1,1,71795,3,75.2,2
4012,2/10/2011,13,22,4,27,4,13:03:00,17,10,318,0,296,1,13,25,1059702,571969,487733,71585,10,6,381,278,103,6.4,-1.9,4.5,1.4,3.2,2,1,71795,3,75.2,4
4013,9/10/2011,13,22,5,25,4,13:02:00,25,20,278,1,473,2,13,23,1059702,571969,487733,71420,10,6,381,278,103,6.4,-1.9,4.5,1.4,3.2,2,1,71795,3,75.2,2
4014,13/10/2013,13,22,6,31,4,13:03:00,38,13,216,0,420,4,13,29,1103683,573271,530412,71104,2,14,276,428,-152,-9.5,1.9,-7.6,-5,-2.6,1,1,71795,3,75.2,2
4015,13/12/2009,32,25,14,24,4,13:00:00,26,3,310,1,124,3,30,22,1093669,525194,568475,62731,3,13,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,1,1,65890,3,75.2,2
4016,16/9/2007,6,27,2,16,4,16:15:00,20,10,239,3,281,2,6,16,1041602,497267,544335,62095,7,9,334,348,-14,-0.9,2.1,1.2,-0.2,1.4,1,1,61500,3,75.2,2
4017,7/10/2007,22,28,5,5,4,13:03:00,16,13,243,1,341,2,21,5,1093544,560036,533508,70001,7,9,379,388,-9,-0.6,-2,-2.5,1.9,-4.5,1,1,74295,2,75.2,2
4018,8/12/2013,22,28,14,5,4,20:30:00,31,13,373,0,239,0,21,5,1123230,583210,540020,73089,11,5,414,304,110,6.9,1.9,8.8,3.8,5,2,1,74295,2,75.2,2
4019,8/10/2006,15,30,5,24,4,16:05:00,41,0,312,0,177,4,15,22,1104052,534866,569186,66604,8,8,371,274,97,6.1,1.4,7.5,2.6,4.9,1,1,67264,3,75.2,2
4020,27/11/2011,15,30,12,13,4,13:03:00,20,13,215,1,255,1,15,13,1049655,498655,551000,62004,5,11,243,329,-86,-5.4,-0.3,-5.6,-7.1,1.4,1,1,67264,3,75.2,2
4021,16/9/2018,34,8,2,14,4,13:00:00,21,9,281,2,334,1,32,14,1043167,488227,554940,57013,7,9,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,1,1,79000,3,75.56,2
4022,28/11/2011,22,28,12,23,2,20:40:00,49,24,577,0,465,2,21,22,1105934,584335,521599,73068,13,3,547,339,208,13,-1.6,11.4,10.6,0.8,2,1,74295,2,75.56,2
4023,11/11/2007,1,31,10,11,4,16:15:00,31,21,319,4,247,5,1,11,1072427,516646,555781,64753,8,8,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,1,1,63400,3,75.56,5
4024,30/10/2016,10,7,8,28,4,16:05:00,27,19,324,3,369,3,10,26,1133943,614193,519750,76756,9,7,333,297,36,2.3,1.8,4,-2,6.1,1,1,76125,3,75.74,2
4025,27/10/2019,13,22,8,25,4,16:25:00,27,24,388,0,378,0,13,23,1075836,574345,501491,71893,10,6,378,385,-7,-0.4,1,0.5,1,-0.5,2,1,71795,3,75.74,2
4026,8/9/2013,27,1,1,33,4,13:02:00,16,9,229,0,194,2,25,31,1025772,458489,567283,61585,8,8,379,370,9,0.6,-2.5,-2,-0.9,-1,1,1,68400,3,75.92,2
4027,17/9/2017,27,1,2,20,4,13:00:00,26,9,335,0,237,1,25,19,1035491,499768,535723,65971,13,3,406,308,98,6.1,-1.1,5,3.2,1.8,2,1,68400,3,75.92,2
4028,22/10/2017,27,1,7,7,4,16:25:00,29,14,420,0,179,2,25,7,1035491,499768,535723,65363,13,3,406,308,98,6.1,-1.1,5,3.2,1.8,2,1,68400,3,75.92,2
4029,16/9/2018,27,1,2,16,4,13:00:00,42,37,449,1,475,0,25,16,1040509,507651,532858,63956,9,6,428,360,68,4.3,1.3,5.6,3.9,1.7,1,1,68400,3,75.92,2
4030,7/9/2003,16,3,1,28,4,13:00:00,27,14,390,2,232,2,16,26,1163872,627840,536032,78048,13,3,484,332,152,9.5,-1.2,8.3,9.2,-0.9,2,1,76416,3,75.92,2
4031,16/10/2005,9,4,6,23,4,13:02:00,16,13,385,4,270,4,9,22,1081038,505258,575780,62278,9,7,325,308,17,1.1,2.1,3.2,-0.1,3.2,1,1,80000,2,75.92,2
4032,15/9/2008,9,4,2,26,2,20:40:00,41,37,380,2,337,1,9,24,1076887,506944,569943,63472,9,7,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,1,1,80000,2,75.92,2
4033,22/10/2000,5,5,8,29,4,13:02:00,34,16,390,0,411,2,5,27,1095192,583489,511703,73169,7,9,310,310,0,0,-1.1,-1.1,-3.6,2.5,1,1,74867,3,75.92,2
4034,1/10/2006,5,5,4,22,4,13:02:00,21,18,324,0,407,1,5,21,1147260,588537,558723,73392,8,8,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5,1,1,74867,3,75.92,2
4035,7/10/2001,10,7,4,16,4,14:05:00,20,6,300,1,297,4,10,16,1115203,600283,514920,75037,8,8,340,339,1,0.1,-0.5,-0.5,0.5,-1,1,1,76125,3,75.92,2
4036,4/9/2003,34,8,1,24,5,21:09:00,16,13,327,2,158,0,32,22,1194366,643997,550369,85420,5,11,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8,1,1,79000,3,75.92,2
4037,7/9/2003,11,9,1,1,4,13:06:00,42,24,261,0,434,3,11,1,1045766,490442,555324,60691,5,11,270,379,-109,-6.8,1,-5.8,-4.3,-1.6,1,1,65000,2,75.92,2
4038,18/9/2016,11,9,2,33,4,13:02:00,16,15,363,1,375,1,11,31,1075305,486342,588963,58466,9,7,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1,2,1,65000,2,75.92,4
4039,7/9/2008,21,10,1,16,4,13:02:00,17,10,338,2,284,1,20,16,1100148,550048,550100,68756,11,5,410,309,101,6.3,-2.4,3.9,2.3,1.6,1,1,65878,1,75.92,2
4040,2/12/2001,19,11,12,10,4,13:02:00,21,10,218,1,273,2,18,10,1119236,587756,531480,73938,11,5,344,290,54,3.4,-0.7,2.7,-0.3,3.1,2,1,65326,3,75.92,2
4041,5/12/2010,19,11,13,8,4,13:02:00,13,10,252,0,281,3,18,8,1077049,541959,535090,65942,7,9,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,1,1,65326,3,75.92,2
4042,11/12/2016,19,11,14,1,4,13:00:00,26,23,314,3,300,4,18,1,1073132,524101,549031,65750,10,6,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8,2,1,65326,3,75.92,2
4043,17/9/2006,12,13,2,22,4,13:02:00,34,27,380,3,385,2,12,21,1104825,565749,539076,70602,8,8,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1,1,1,81441,3,75.92,2
4044,13/9/2009,12,13,1,6,4,20:30:00,21,15,226,0,352,4,12,6,1067183,565666,501517,70920,11,5,461,297,164,10.3,-2.9,7.4,6.3,1.1,2,1,81441,3,75.92,2
4045,6/10/2016,29,14,5,1,5,20:27:00,33,21,288,0,286,3,27,1,1119165,561424,557741,70178,2,14,309,480,-171,-10.7,-0.5,-11.2,-3.7,-7.5,1,1,68500,3,75.92,2
4046,23/9/2007,26,15,3,11,4,13:02:00,56,21,536,2,432,3,24,11,1127787,545357,582430,67570,8,8,336,300,36,2.3,3,5.3,0.1,5.1,1,1,67594,3,75.92,2
4047,21/10/2007,26,15,7,6,4,16:14:00,19,16,386,0,334,0,24,6,1127787,545357,582430,67806,8,8,336,300,36,2.3,3,5.3,0.1,5.1,1,1,67594,3,75.92,2
4048,7/9/2014,26,15,1,15,4,13:02:00,34,17,420,3,306,1,24,15,1153703,556768,596935,69596,10,6,474,400,74,4.6,-0.7,3.9,6.6,-2.7,1,1,67594,3,75.92,2
4049,19/9/2010,14,16,2,23,4,20:31:00,38,14,410,1,257,3,14,22,1093781,535802,557979,67275,10,6,435,388,47,2.9,-0.1,2.9,3.7,-0.9,2,1,67000,1,75.92,2
4050,11/9/2016,14,16,1,11,4,16:27:00,39,35,448,0,450,0,14,11,1100210,524393,575817,65566,8,8,411,392,19,1.2,-0.8,0.4,3.1,-2.7,1,1,67000,1,75.92,2
4051,13/9/2009,30,17,1,31,4,16:16:00,28,0,446,3,247,1,28,29,1070287,539141,531146,67610,5,11,280,390,-110,-6.9,-2.4,-9.3,-5,-4.4,1,1,68740,2,75.92,2
4052,24/9/2000,3,18,4,7,4,13:02:00,37,0,391,1,94,4,3,7,1062373,551695,510678,68481,12,4,333,165,168,10.5,-2.5,8,0,8,2,2,71008,1,75.92,2
4053,7/9/2008,3,18,1,7,4,13:06:00,17,10,358,2,154,2,3,7,1115465,570152,545313,70978,11,5,385,244,141,8.8,1,9.8,4.2,5.6,2,1,71008,1,75.92,2
4054,15/9/2013,2,19,2,31,4,13:03:00,31,24,393,0,421,1,2,29,1080805,561795,519010,70056,4,12,353,443,-90,-5.6,2.9,-2.8,1.2,-3.9,1,1,71000,1,75.92,2
4055,14/9/2015,2,19,1,26,2,19:10:00,26,24,395,2,399,2,2,24,1134671,562845,571826,70516,8,8,339,345,-6,-0.4,-3.4,-3.8,-4,0.3,1,1,71000,1,75.92,2
4056,30/9/2018,2,19,4,7,4,13:00:00,37,36,407,1,495,0,2,7,1119143,583184,535959,71985,7,9,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,1,1,71000,1,75.92,2
