"","x"
"1820",76821
"1821",68442
"1822",68399
"1823",49207
"1824",68451
"1825",78666
"1826",78907
"1827",84856
"1828",78863
"1829",68436
"1830",78883
"1831",64114
"1832",78132
"1833",78813
"1834",67867
"1835",65648
"1836",78481
"1837",78217
"1838",68399
"1839",64118
"1840",78130
"1841",85420
"1842",77461
"1843",68436
"1844",77863
"1845",77740
"1846",70623
"1847",67853
"1848",78132
"1849",51909
"1850",56801
"1851",77614
"1852",77710
"1853",72791
"1854",77900
"1855",77835
"1856",73720
"1857",68809
"1858",50135
"1859",76753
"1860",54078
"1861",61099
"1862",73318
"1863",62391
"1864",61561
"1865",51909
"1866",56653
"1867",78889
"1868",57201
"1869",53079
"1870",45398
"1871",62298
"1872",62222
"1873",67772
"1874",67624
"1875",73305
"1876",67792
"1877",63648
"1878",78883
"1879",67853
"1880",70064
"1881",70291
"1882",67867
"1883",67802
"1884",72977
"1885",69773
"1886",73780
"1887",67866
"1888",76766
"1889",63157
"1890",78416
"1891",64596
"1892",63244
"1893",64595
"1894",75974
"1895",62665
"1896",66507
"1897",59520
"1898",67877
"1899",73658
"1900",58797
"1901",53079
"1902",77900
"1903",52527
"1904",70001
"1905",78048
"1906",65445
"1907",52028
"1908",54078
"1909",48954
"1910",73238
"1911",73014
"1912",61500
"1913",64738
"1914",75217
"1915",52069
"1916",57671
"1917",61544
"1918",64978
"1919",52527
"1920",62222
"1921",67554
"1922",65990
"1923",67412
"1924",64111
"1925",67365
"1926",66437
"1927",67809
"1928",40824
"1929",67812
"1930",67877
"1931",70250
"1932",69549
"1933",66975
"1934",64666
"1935",67866
"1936",67840
"1937",52250
"1938",23127
"1939",65841
"1940",70365
"1941",66437
"1942",65671
"1943",52131
"1944",66507
"1945",80728
"1946",65865
"1947",69477
"1948",64680
"1949",63968
"1950",66152
"1951",64899
"1952",67840
"1953",78666
"1954",65990
"1955",65841
"1956",65758
"1957",66075
"1958",66201
"1959",62665
"1960",67812
"1961",66085
"1962",61820
"1963",42089
"1964",66134
"1965",73108
"1966",66152
"1967",66061
"1968",61006
"1969",67772
"1970",65621
"1971",70871
"1972",65647
"1973",85490
"1974",67809
"1975",65602
"1976",65524
"1977",73245
"1978",65614
"1979",65648
"1980",60543
"1981",68442
"1982",65124
"1983",65572
"1984",68809
